nct_id,brief_title,conditions,cancer_type_label,multi_subtype,categories_matched,hand_check_category,agree
NCT06750185,"Safety and Preliminary Effectiveness of BNT317, an Investigational Therapy for Advanced Solid Tumors",Advanced Solid Tumor,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT04260022,Study of HQP1351 in Subjects With Refractory CML and Ph+ ALL,"Leukemia, Myeloid, Chronic;Myeloid Leukemia;Chronic Myeloid Leukemia;Philadelphia Positive Acute Lymphoblastic Leukemia;B Cell Precursor Type Acute Leukemia",Leukemia,,leukemia,,
NCT02800486,"Super Selective Intra-arterial Repeated Infusion of Cetuximab (Erbitux) With Reirradiation for Treatment of Relapsed/Refractory GBM, AA, and AOA","Glioblastoma;Anaplastic Astrocytoma;Anaplastic Oligoastrocytoma;Glioma;Brain Neoplasm;Brain Cancer;Brain Tumor;Brain Tumor, Recurrent;Brain Neoplasm, Malignant",Brain & CNS,,brain_cns,,
NCT04991103,Minimal Residual Disease Response-adapted Deferral of Transplant in Dysproteinemia (MILESTONE),Multiple Myeloma;Amyloidosis,Myeloma & plasma cell,,myeloma,,
NCT06807619,A Study of Sotorasib in People With Brain Tumors,Brain Tumor,Brain & CNS,,brain_cns,,
NCT06190197,Prophylactic Antibiotics in Cystectomy With Diversion,Muscle-Invasive Bladder Carcinoma;Radical Cystectomy;Ileal Conduit;Neobladder Diversion,Bladder & urothelial,,bladder_urothelial,,
NCT06150417,MDRT in Prostate Cancer Treated With Long-term Androgen Deprivation Therapy in the STAMPEDE Trial (METANOVA),Prostate Cancer;Malignant Neoplasm of Prostate;Secondary Malignant Neoplasm of Prostate,Prostate,,prostate,,
NCT06066333,Study of Radiotherapy and Pembrolizumab in People With Adrenocortical Carcinoma,Adrenocortical Carcinoma;ACC;Metastatic Adrenocortical Carcinoma,Neuroendocrine & endocrine,,neuroendocrine_endocrine,,
NCT07185880,A Phase 1/2 Study of the Safety and Tolerability of MT-125 in GBM Patients,Glioblastoma (GBM),Brain & CNS,,brain_cns,,
NCT07076498,Engineered HSV-1 M032 for the Treatment of Children and Adults With Newly Diagnosed Diffuse Midline Glioma After Standard of Care Radiation,Glioma,Brain & CNS,,brain_cns,,
NCT06863311,Trial of Zanzalintinib (XL092) in Combination With Immunotherapy in Patients Who Progress on Adjuvant Therapy in Clear Cell RCC,Advanced Renal Cell Carcinoma;Metastatic Renal Cell Carcinoma;Clear Cell Renal Cell Carcinoma,Kidney,,kidney,,
NCT01720836,Study of the Immune Response of MUC1 (Mucin1) Peptide Vaccine for Non-small Cell Lung Cancer,Non-small Cell Lung Cancer (NSCLC),Lung & thoracic,,lung,,
NCT06343077,Intratumoral and Systemic Hiltonol® (Poly-ICLC) in Prostate Cancer Patients on Active Surveillance,Prostate Cancer Patients on Active Surveillance,Prostate,,prostate,,
NCT03750981,C.A.P.A.B.L.E. (CrossFit® and Physical Activity: A Better Life Experience),Cancer Survivors,Other / unclassified,,,,
NCT06453044,Mosunetuzumab and Polatuzumab Vedotin for the Treatment of Patients With Relapsed or Refractory Grade 1-3a Follicular Lymphoma,Recurrent Grade 1 Follicular Lymphoma;Recurrent Grade 2 Follicular Lymphoma;Recurrent Grade 3a Follicular Lymphoma;Refractory Grade 1 Follicular Lymphoma;Refractory Grade 2 Follicular Lymphoma;Refractory Grade 3a Follicular Lymphoma,Lymphoma,,lymphoma,,
NCT06484062,"Testing the Anti-cancer Drug, Cirtuvivint, and Its Combination With ASTX727 to Improve Outcomes in Patients With Acute Myeloid Leukemia and Myelodysplastic Syndromes",Acute Myeloid Leukemia;Myelodysplastic Syndrome;Myelodysplastic Syndrome/Acute Myeloid Leukemia;Recurrent Acute Myeloid Leukemia;Recurrent Myelodysplastic Syndrome;Recurrent Myelodysplastic Syndrome/Acute Myeloid Leukemia;Refractory Acute Myeloid Leukemia;Refractory Myelodysplastic Syndrome;Refractory Myelodysplastic Syndrome/Acute Myeloid Leukemia,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,,
NCT06157151,PRGN-2009 in Combination With Pembrolizumab in Patients With Recurrent or Metastatic Cervical Cancer,Cervical Cancer;HPV-Related Carcinoma;HPV-Related Malignancy;Recurrent Cervical Carcinoma;Metastatic Cervical Cancer,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,,
NCT06800339,A Study Evaluating Neoadjuvant Chemoimmunotherapy With Immunosensitizing Radiation for Borderline Resectable Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung & thoracic,,lung,,
NCT06954831,Ultra-hypofractionated Whole Breast Irradiation With Lumpectomy Cavity Boost for the Treatment of Stage I-III Breast Cancer,Anatomic Stage I Breast Cancer AJCC v8;Anatomic Stage II Breast Cancer AJCC v8;Anatomic Stage III Breast Cancer AJCC v8;Breast Carcinoma,Breast,,breast,,
NCT02896335,Palbociclib and Pembrolizumab In Central Nervous System Metastases,Metastatic Malignant Neoplasm to Brain;Recurrent Brain Metastases;Progressive Brain Metastases,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT05698576,TRANBERG® Transperineal MR/US Fusion Laser--Induced Thermal Therapy for Men With Prostate Cancer,Prostate Cancer;Adverse Effects Surgery;MRI;Ultrasound;Sexual Function Disturbances;Urinary Incontinence;Urinary Function Disorders;Prostate Biopsy;Ablation,Prostate,,prostate,,
NCT06075810,A Study of Oral MBQ-167 in Participants With Advanced Breast Cancer,Breast Cancer;Breast Neoplasm;Breast Cancer Stage IV,Breast,,breast,,
NCT06417814,A Study to Investigate the Efficacy and Safety of Dato-DXd With or Without Osimertinib Compared With Platinum Based Doublet Chemotherapy in Participants With EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer,Metastatic Non-small Cell Lung Cancer,Lung & thoracic,,lung,,
NCT06610825,Castrate Resistant Prostate Cancer Enhertu Therapy,Prostate Cancer Metastatic;Prostate Cancer;CRPC,Prostate,,prostate,,
NCT05526989,Study of the Combination Dostarlimab With Niraparib In Patients With Penile Carcinoma,Penile Carcinoma,Other named cancer,,other_named,,
NCT06411821,Ulixertinib in People With Histiocytic Neoplasms,Histiocytic Neoplasms,Other named cancer,,other_named,,
