rank_zero,rank_lt20,name,name_is_placeholder,city,state,zip,county_name,county_fips,pop55_newly_covered_zero,pop55_newly_covered_lt20,tracts_within_60rdmi,county_trials,n_trials_hosted_2016plus,geocode,access_mi,lat,lon,source
622,526,"Horizon Oncology Research, LLC.",0,Layfayette,IN,47905,Tippecanoe,18157,0,31301,249,4,2,zip,0.7,40.421886,-86.763599,registry_stand_in
623,527,Lafayette,1,Lafayette,IN,47905,Tippecanoe,18157,0,31301,249,4,1,zip,0.7,40.421886,-86.763599,registry_stand_in
624,528,USA002,0,Lafayette,IN,47905,Tippecanoe,18157,0,31301,249,4,1,zip,0.7,40.421886,-86.763599,registry_stand_in
625,529,Vanda Investigational Site,1,Lafayette,IN,47905,Tippecanoe,18157,0,31301,249,4,1,zip,0.7,40.421886,-86.763599,registry_stand_in
626,530,Verdi Oncology Research,0,Lafayette,IN,47905,Tippecanoe,18157,0,31301,249,4,1,zip,0.7,40.421886,-86.763599,registry_stand_in
627,531,Saint Peter's Community Hospital,0,Helena,MT,59601,Lewis and Clark,30049,0,30240,22,10,53,zip,3.1,46.53069,-112.199398,registry_stand_in
628,534,Parkway Cardiology Associates,0,Oak Ridge,TN,37830,Anderson,47001,0,29118,296,2,1,zip,2.2,35.966483,-84.290549,registry_stand_in
629,535,Thompson Oncology Group-Oak Ridge,0,Oak Ridge,TN,37830,Anderson,47001,0,29118,296,2,3,zip,2.2,35.966483,-84.290549,registry_stand_in
630,536,Hope Women's Cancer Centers,0,Asheville,NC,28806,Buncombe,37021,0,29108,273,12,1,zip,0.2,35.569645,-82.616787,registry_stand_in
631,537,Investigative Site,1,Asheville,NC,28806,Buncombe,37021,0,29108,273,12,1,zip,0.2,35.569645,-82.616787,registry_stand_in
632,538,Messino Cancer Center - Asheville,0,Asheville,NC,28806,Buncombe,37021,0,29108,273,12,1,zip,0.2,35.569645,-82.616787,registry_stand_in
633,549,Arthritis Center of North Georgia,0,Gainesville,GA,30501,Hall,13139,0,27711,1105,6,1,zip,0.1,34.319037,-83.814399,registry_stand_in
634,550,Northeast Georgia Medical Center,0,Gainesville,GA,30501,Hall,13139,0,27711,1105,6,7,zip,0.1,34.319037,-83.814399,registry_stand_in
635,551,Northeast Georgia Medical Center; Oncology Research Dept-5C,0,Gainesville,GA,30501,Hall,13139,0,27711,1105,6,1,zip,0.1,34.319037,-83.814399,registry_stand_in
636,552,Ra0098 127,0,Gainesville,GA,30501,Hall,13139,0,27711,1105,6,1,zip,0.1,34.319037,-83.814399,registry_stand_in
